time,body_index,body_name,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
0.00000000,0,body1,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
0.00000000,1,body2,2.50000000,0.00000000,0.00000000,0.00000000,0.00000000,-1.00000000
0.00000000,2,body3,-1.25000000,2.16506351,0.00000000,0.00000000,0.00000000,-1.00000000
0.00000000,3,body4,-1.25000000,-2.16506351,0.00000000,0.00000000,0.00000000,-0.50000000
0.00500000,0,body1,0.00000134,0.00000232,-0.00000003,0.00053571,0.00092788,-0.00002043
0.00500000,1,body2,2.49998884,0.00000232,-0.00499999,-0.00446412,0.00092779,-0.99999637
0.00500000,2,body3,-1.24999241,2.16505500,-0.00499999,0.00303555,-0.00340214,-0.99999637
0.00500000,3,body4,-1.24999710,-2.16505848,-0.00250000,0.00116071,0.00201041,-0.49999704
0.01000000,0,body1,0.00000536,0.00000928,-0.00000027,0.00107140,0.00185572,-0.00008170
0.01000000,1,body2,2.49995536,0.00000928,-0.00999995,-0.00892723,0.00185504,-0.99998550
0.01000000,2,body3,-1.24996965,2.16502949,-0.00999995,0.00607013,-0.00680369,-0.99998550
0.01000000,3,body4,-1.24998839,-2.16504341,-0.00499996,0.00232140,0.00402078,-0.49998816
0.01500000,0,body1,0.00001205,0.00002088,-0.00000092,0.00160705,0.00278349,-0.00018377
0.01500000,1,body2,2.49989957,0.00002087,-0.01499984,-0.01338833,0.00278121,-0.99996737
0.01500000,2,body3,-1.24993171,2.16498697,-0.01499984,0.00910276,-0.01020403,-0.99996737
0.01500000,3,body4,-1.24997388,-2.16501828,-0.00749987,0.00348204,0.00603107,-0.49997337
0.02000000,0,body1,0.00002143,0.00003711,-0.00000218,0.00214264,0.00371116,-0.00032660
0.02000000,1,body2,2.49982148,0.00003709,-0.01999961,-0.01784642,0.00370575,-0.99994200
0.02000000,2,body3,-1.24987862,2.16492745,-0.01999961,0.01213248,-0.01360257,-0.99994200
0.02000000,3,body4,-1.24995357,-2.16498309,-0.00999968,0.00464262,0.00804125,-0.49995270
0.02500000,0,body1,0.00003348,0.00005799,-0.00000425,0.00267815,0.00463868,-0.00051008
0.02500000,1,body2,2.49972111,0.00005792,-0.02499924,-0.02230049,0.00462813,-0.99990940
0.02500000,2,body3,-1.24981039,2.16485095,-0.02499924,0.01515832,-0.01699873,-0.99990940
0.02500000,3,body4,-1.24992746,-2.16493786,-0.01249938,0.00580310,0.01005126,-0.49992616
0.03000000,0,body1,0.00004821,0.00008350,-0.00000735,0.00321355,0.00556603,-0.00073411
0.03000000,1,body2,2.49959849,0.00008336,-0.02999870,-0.02674956,0.00554781,-0.99986957
0.03000000,2,body3,-1.24972705,2.16475747,-0.02999870,0.01817932,-0.02039190,-0.99986957
0.03000000,3,body4,-1.24989554,-2.16488258,-0.01499894,0.00696346,0.01206107,-0.49989380
0.03500000,0,body1,0.00006561,0.00011365,-0.00001166,0.00374883,0.00649316,-0.00099856
0.03500000,1,body2,2.49945363,0.00011339,-0.03499793,-0.03119265,0.00646427,-0.99982254
0.03500000,2,body3,-1.24962861,2.16464703,-0.03499793,0.02119454,-0.02378149,-0.99982254
